bp,rank,score,ts,uptime_score
B62qoeKm4p9J6Q3hYWzb82Yo5uP163MqooBX4ZWjp8FpX3N6Y81QgFc,1,8724,2021-05-22 11:26:39.362277,97.42 %
B62qqKoxyhPfHY9kw283dafk5jztbbKdH78eDXpNCyj69cmckC8KZqs,2,8724,2021-05-22 11:26:39.362277,97.42 %
B62qnSUbgFfPTsZGPhFU9hEy4PerBLCHVcTCYthU7BUN75nHiZQPg6r,3,8724,2021-05-22 11:26:39.362277,97.42 %
B62qphpEdBwSycpN67XFjcXSEY9j18chmttFTXYerhTPMX4JkXubWkd,4,8724,2021-05-22 11:26:39.362277,97.42 %
B62qqvDf19E357mwCfM6fHRhuBTaNcwnKCJbaNE3waGnQ8uNZZPU66g,5,8724,2021-05-22 11:26:39.362277,97.42 %
B62qoTASPAqsxJb1kmDZtYhxRAuuegWG1WhzkxqmZVD3BmKLenPa3hx,6,8724,2021-05-22 11:26:39.362277,97.42 %
B62qmpSNd5voNiVnyM4c1bcbRC53wdkEANwYZaA2iA5rgCv68XezSuG,7,8724,2021-05-22 11:26:39.362277,97.42 %
B62qpMcYjgezccPk8NfaSto4jyV3uGU8R24D9uSShMoqr8JdpAv4RKo,8,8724,2021-05-22 11:26:39.362277,97.42 %
B62qowm5zNjGsDzC67eTc4zvjXwdkPRUKHFzeSDRjm6FBojzqmNfNhH,9,8724,2021-05-22 11:26:39.362277,97.42 %
B62qrGX6VyP6BmGAMYzrvhyq12JDuCQHpuumme2St5K5nWgPiFKhwMS,10,8724,2021-05-22 11:26:39.362277,97.42 %
B62qrx22PmRx6jXfvrS4amPCGR22KX6SB7NXvFLTuw9eDZYgVtymid2,11,8724,2021-05-22 11:26:39.362277,97.42 %
B62qoQjPL289fYLgcPzDmZ1Dv5kqNYANsicix6v6epSHXUW6H3XUTL9,12,8723,2021-05-22 11:26:39.362277,97.41 %
B62qns9cPvDwckhJXHpWZZ8b8T8oUgoF4Enpax5zNVBYYMtQwHf4Cmp,13,8723,2021-05-22 11:26:39.362277,97.41 %
B62qqgGAQfpFhX8G1iF253C37CMsj6ypn77C9fr3Y17iU6B5Ft4XjPo,14,8723,2021-05-22 11:26:39.362277,97.41 %
B62qpge4uMq4Vv5Rvc8Gw9qSquUYd6xoW1pz7HQkMSHm6h1o7pvLPAN,15,8723,2021-05-22 11:26:39.362277,97.41 %
B62qq9CY1jVwTNjxbqUxNT4qhAy24woM1uzYA2HUo4QEGpkyUDXt3YF,16,8723,2021-05-22 11:26:39.362277,97.41 %
B62qnMmqkKptkyQPvYmCAAEnbNxjjRkpFZJSJLBgAuDL2bURwZgXe55,17,8723,2021-05-22 11:26:39.362277,97.41 %
B62qidz67vVjRUWi4QWBhE6i6JAs5i55YP1CuRsSNB8CjM4nttrRS4q,18,8722,2021-05-22 11:26:39.362277,97.40 %
B62qry8iJF3X2icdxsCzFz2qEXPUiu9HkR1wBde93bqgjvFzcRcFnti,19,8722,2021-05-22 11:26:39.362277,97.40 %
B62qoRsqqfdfDb3s4nTgTVUQGLep77ZcoKjjWoyxspTn4CEbtBknDek,20,8722,2021-05-22 11:26:39.362277,97.40 %
B62qqV16g8s744GHM6Dph1uhW4fggYwyvtDnVSoRUyYqNvTir3Rqqzx,21,8722,2021-05-22 11:26:39.362277,97.40 %
B62qr7o47ANtvCpSzdVXXoweGkaZkwWnq2mZ6Heg7KQTCuShF4KeKFS,22,8721,2021-05-22 11:26:39.362277,97.39 %
B62qpJavug1VGCBSttepmXr6nh8fvXY5SigbN44ttYDia65vwbTEcq2,23,8721,2021-05-22 11:26:39.362277,97.39 %
B62qpPqw2hzqjtcqpEwvckfsAENgXUxgJGu8y3Z6Fzus7pRH6UaLLp7,24,8721,2021-05-22 11:26:39.362277,97.39 %
B62qq2PGvsoNC4u3uxthhs2ztXzuXRzqoWX9pWUDo5xdC3vdG7DQkjU,25,8721,2021-05-22 11:26:39.362277,97.39 %
B62qnWPnneWPobbir3JncBDVnj9dGvT1RA713xYVxJ9sBYgYHiu68Xh,26,8721,2021-05-22 11:26:39.362277,97.39 %
B62qrae3PEBj66KV2obWnzVxMjDCMuFWnyzxEzvLkQutaKPmWtfUPm3,27,8720,2021-05-22 11:26:39.362277,97.38 %
B62qpZQ7xcNpv6zcY75D2y1V4K1DHXVpkbCJAYpPNHgutXAb6o5QSZE,28,8720,2021-05-22 11:26:39.362277,97.38 %
B62qqpujuZ5W9uGtEwJv9R9yP8475hjFd93D4fVXoVPi9tmAMsQZBhn,29,8720,2021-05-22 11:26:39.362277,97.38 %
B62qnMTo6ii49AJa83i3i2WeG3bJN6WHDYh9K7BvKb42aQHC3Pibvxp,30,8720,2021-05-22 11:26:39.362277,97.38 %
B62qq6FzjoX7GCqDY9aUP7eFm9QdqHpFJ8Aa5xB1YLj9GuPtsvG6Mp8,31,8720,2021-05-22 11:26:39.362277,97.38 %
B62qj3Gzxgb4G4M8CwZRXZPtmVwGJtGfVXVbpMrACNDSqQLoXzSQ9HW,32,8719,2021-05-22 11:26:39.362277,97.36 %
B62qoev8sKidbnw2RmSAJ5w4SFdPvn88UtqvZt8GxHHd3d2P7x2Etgv,33,8719,2021-05-22 11:26:39.362277,97.36 %
B62qjhiEXP45KEk8Fch4FnYJQ7UMMfiR3hq9ZeMUZ8ia3MbfEteSYDg,34,8719,2021-05-22 11:26:39.362277,97.36 %
B62qmWbgvGV1MwxS6rJEG3BSbT2T8b5DP2Theb2CaBduBXGJz6qfCqb,35,8718,2021-05-22 11:26:39.362277,97.35 %
B62qny4snW5cBovDvVFLSipUMaDiu7xwYMrfbTscDLDne7enKJyGkbh,36,8718,2021-05-22 11:26:39.362277,97.35 %
B62qjBpH4zeWgy4d4p59qUXDA3DtYeCyBrRM286sdXZFw4A8SiswfBh,37,8718,2021-05-22 11:26:39.362277,97.35 %
B62qp17siioFbT7ugFCJwtfcSn9SHFsBNAkUAxKjaFtorKqQ2Z46L1G,38,8717,2021-05-22 11:26:39.362277,97.34 %
B62qs12XTUTSiWuhyF1R3MfXB3p4QaGxv6JFZYoMUuG4DGCEhzn39LL,39,8717,2021-05-22 11:26:39.362277,97.34 %
B62qkBqSkXgkirtU3n8HJ9YgwHh3vUD6kGJ5ZRkQYGNPeL5xYL2tL1L,40,8717,2021-05-22 11:26:39.362277,97.34 %
B62qipnm2igSVxVw6mqSdhU55kwwXDdE7mbh6FSiDj2zQFKhQ8iezwe,41,8717,2021-05-22 11:26:39.362277,97.34 %
B62qoG7mge74phWmvLdgMTrewb3Znpkvt3LYbtiKgvhN3v4kjVx1RPc,42,8716,2021-05-22 11:26:39.362277,97.33 %
B62qmBBEPcCpWqvMhParohskEjDttye1A7iSxwmMncXXgKkgjQ9PA7y,43,8715,2021-05-22 11:26:39.362277,97.32 %
B62qnr2iUdADcgeYKUVjjvXaPy4qXXz8gmYUYu2WbHA8ZaieWMo2r9s,44,8715,2021-05-22 11:26:39.362277,97.32 %
B62qkd4tZQGe9mo5tK3wQi5PUoMdtUGtLWps6Se9o1qWdwNwuUtdWdr,45,8715,2021-05-22 11:26:39.362277,97.32 %
B62qqMU2Es9QPPYj7Vn54aJbbW5gibDZYu38LhGLGSjccSxJRQ5NkuK,46,8714,2021-05-22 11:26:39.362277,97.31 %
B62qpFJeY8uiLwzhrmwFGthQS7yjZonyUACq32G4ULkZcRB9W3WVFgE,47,8713,2021-05-22 11:26:39.362277,97.30 %
B62qrcFgyk8u1NPaTvw9zZE1RVYGAeURojHds8WMjEpzHakU7BefkMf,48,8713,2021-05-22 11:26:39.362277,97.30 %
B62qn8JN3sLVja6GLETxWdnma3hXuUP2WfUARkcLfs8jWqW4FbuGuCU,49,8713,2021-05-22 11:26:39.362277,97.30 %
B62qpkF1Yrd1uQNLpun7d8k12ggHEXjXHknLCKh6Hom7Q3Ba3oZg3nb,50,8709,2021-05-22 11:26:39.362277,97.25 %
B62qoazqR1ag2hDwjkSSm6qV3eJtkiPvVPKhfVyeea7TehBAWu4dWJ5,51,8709,2021-05-22 11:26:39.362277,97.25 %
B62qp6qMf3Do4q4aKqEsLxVpVuXJaRCijtyhsjZBvDSEFUBGXg8Z9cs,52,8707,2021-05-22 11:26:39.362277,97.23 %
B62qrW1cezZ24Dn7DMdb7WPVVpCcE4s9BhYDDz49rWyVeMinHb18bg8,53,8707,2021-05-22 11:26:39.362277,97.23 %
B62qojbGyQY7zXAwezuZWw5HUAEdsF5JnMeCYZEB33uvUzpenuTQCSe,54,8706,2021-05-22 11:26:39.362277,97.22 %
B62qpL4ZdJw8dmaD3DJQvKG4Ewt82va36rYK7BkkKs2SnkxzVZR5oBk,55,8706,2021-05-22 11:26:39.362277,97.22 %
B62qk5RNZP2c4xbrefavDjRM9wLP63kFCVdd4TRKfmtKLXEimdDrKNX,56,8706,2021-05-22 11:26:39.362277,97.22 %
